route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
607,0000001432024090920250612,0004187192024090920250612,Sorni,0,,
607,0000001442024090920250612,0004187202024090920250612,Pressano Piazza,0,,
607,0000001442024090920250612,0004187212024090920250612,Pressano Piazza,0,,
613,0000001482024090920250612,0004187222024090920250612,Pressano Piazza,0,,
610,0000001462024090920250612,0004187232024090920250612,Lavis "Stazione Fs",0,,
610,0000001462024090920250612,0004187242024090920250612,Lavis "Stazione Fs",0,,
610,0000001462024090920250612,0004187252024090920250612,Lavis "Stazione Fs",0,,
610,0000001462024090920250612,0004187262024090920250612,Lavis "Stazione Fs",0,,
612,0000001462024090920250612,0004187282024090920250612,Lavis Via Nazionale,0,,
612,0000001462024090920250612,0004187292024090920250612,Lavis Via Nazionale,0,,
612,0000001462024090920250612,0004187302024090920250612,Lavis Via Nazionale,0,,
607,0000001442024090920250612,0004187312024090920250612,Sorni,0,,
607,0000001442024090920250612,0004187322024090920250612,Sorni,0,,
607,0000001442024090920250612,0004187332024090920250612,Sorni,0,,
607,0000001442024090920250612,0004187342024090920250612,Sorni,0,,
607,0000001432024090920250612,0004187352024090920250612,Sorni,0,,
607,0000001452024090920250612,0004187362024090920250612,Sorni,0,,
607,0000001462024090920250612,0004187372024090920250612,Sorni,0,,
607,0000001462024090920250612,0004187382024090920250612,Sorni,0,,
607,0000001442024090920250612,0004187392024090920250612,Sorni,0,,
613,0000001482024090920250612,0004187402024090920250612,Sorni,0,,
607,0000001442024090920250612,0004187422024090920250612,Lavis Via Nazionale,1,,
607,0000001442024090920250612,0004187432024090920250612,Lavis Via Nazionale,1,,
607,0000001442024090920250612,0004187442024090920250612,Lavis Via Nazionale,1,,
607,0000001442024090920250612,0004187452024090920250612,Lavis Via Nazionale,1,,
607,0000001432024090920250612,0004187462024090920250612,Lavis Via Nazionale,1,,
607,0000001452024090920250612,0004187472024090920250612,Lavis Via Nazionale,1,,
607,0000001462024090920250612,0004187482024090920250612,Lavis Via Nazionale,1,,
607,0000001462024090920250612,0004187492024090920250612,Lavis Via Nazionale,1,,
607,0000001442024090920250612,0004187502024090920250612,Lavis Via Nazionale,1,,
607,0000001442024090920250612,0004187522024090920250612,Lavis Via Nazionale,1,,
607,0000001442024090920250612,0004187532024090920250612,Lavis Via Nazionale,1,,
613,0000001472024090920250612,0004187542024090920250612,Lavis Via Nazionale,1,,
613,0000001482024090920250612,0004187552024090920250612,Lavis Via Nazionale,1,,
613,0000001482024090920250612,0004187562024090920250612,Lavis Via Nazionale,1,,
610,0000001462024090920250612,0004187572024090920250612,Lavis Via Nazionale,1,,
610,0000001462024090920250612,0004187582024090920250612,Lavis Via Nazionale,1,,
610,0000001462024090920250612,0004187592024090920250612,Lavis Via Nazionale,1,,
610,0000001462024090920250612,0004187602024090920250612,Lavis Via Nazionale,1,,
629,0000000032024090920250612,0004187702024090920250612,Lavis Nazionale,0,D208_F1713_Andata_sub2,1
400,0000000022024090920250612,0004187712024090920250612,Oltrecastello,0,D593_T0501b_Andata_PRINCIPALE_sub2,1
400,0000000102024090920250612,0004187722024090920250612,Oltrecastello,0,D593_T0501b_Andata_PRINCIPALE_sub2,1
400,0000000102024090920250612,0004187732024090920250612,Oltrecastello,0,D593_T0501b_Andata_PRINCIPALE_sub2,1
406,0000000022024090920250612,0004187742024090920250612,Villamontagna P.Predaroi,0,D680_T0901b_Andata_PRINCIPALE_sub1,1
406,0000000022024090920250612,0004187752024090920250612,Villamontagna P.Predaroi,0,D680_T0901b_Andata_PRINCIPALE_sub1,1
406,0000000022024090920250612,0004187762024090920250612,Piazza Dante "Dogana",1,D681_T0902b_Ritorno_PRINCIPALE_sub1,1
539,0000000032024090920250612,0004187772024090920250612,Piazza Dante "Pal. Regione",1,D164_F0410_Ritorno_sub1,1
539,0000000102024090920250612,0004187782024090920250612,Bettini "Madonna Bianca",0,D156_F0405_Andata_sub1,1
406,0000000032024090920250612,0004187792024090920250612,Villamontagna P.Predaroi,0,D680_T0901b_Andata_PRINCIPALE_sub1,1
400,0000000102024090920250612,0004187802024090920250612,Oltrecastello,0,D593_T0501b_Andata_PRINCIPALE_sub2,1
406,0000000032024090920250612,0004187812024090920250612,Piazza Dante "Dogana",1,D683_T0922_Ritorno_sub1,1
404,0000000032024090920250612,0004187822024090920250612,Verona "Palazzo Stella",0,D661_T0867_Andata_sub2,1
408,0000000102024090920250612,0004187832024090920250612,Piazza Dante "Dogana",1,D697_T1032_Ritorno_sub2,1
400,0000000022024090920250612,0004187842024090920250612,Piazza Dante "Dogana",1,D170_F0512_Ritorno_sub1,1
400,0000000022024090920250612,0004187852024090920250612,Oltrecastello,0,D593_T0501b_Andata_PRINCIPALE_sub2,1
400,0000000022024090920250612,0004187862024090920250612,Piazza Dante "Dogana",1,D170_F0512_Ritorno_sub1,1
539,0000000102024090920250612,0004187872024090920250612,Verona Menguzzato,0,D577_T0411b_Andata_sub1,1
539,0000000032024090920250612,0004187882024090920250612,Piazza Dante "Pal. Regione",1,D164_F0410_Ritorno_sub1,1
396,0000000032024090920250612,0004188292024090920250612,Travai Piazza Fiera,0,D570_T0381_Andata_sub1,1
396,0000000102024090920250612,0004188302024090920250612,Zambra "Top Center",1,D550_T0332a_Ritorno_sub2,1
400,0000000022024090920250612,0004188312024090920250612,Oltrecastello,0,D593_T0501b_Andata_PRINCIPALE_sub2,1
400,0000000022024090920250612,0004188322024090920250612,Oltrecastello,0,D593_T0501b_Andata_PRINCIPALE_sub2,1
400,0000000022024090920250612,0004188332024090920250612,Oltrecastello,0,D593_T0501b_Andata_PRINCIPALE_sub2,1
400,0000000022024090920250612,0004188342024090920250612,Oltrecastello,0,D593_T0501b_Andata_PRINCIPALE_sub2,1
400,0000000022024090920250612,0004188352024090920250612,Oltrecastello,0,D593_T0501b_Andata_PRINCIPALE_sub2,1
400,0000000022024090920250612,0004188362024090920250612,Oltrecastello,0,D593_T0501b_Andata_PRINCIPALE_sub2,1
